date,open,high,low,close,volume,barCount,wap
2004-03-19 15:00:00,111.78,112.27,110.7,111.29,105164,8347,111.493
2004-03-19 16:00:00,111.28,112.12,111.04,111.1,58675,658,111.216
2004-03-22 09:30:00,110.54,110.57,105.95,109.93,70649,7543,110.325
2004-03-22 10:00:00,109.94,110.07,109.4,110.03,113852,13631,109.802
2004-03-22 11:00:00,110.02,110.34,109.69,110.08,79284,9541,110.076
2004-03-22 12:00:00,110.09,110.09,109.72,110.0,31125,5212,109.924
2004-03-22 13:00:00,110.01,110.01,109.5,109.65,49281,6613,109.736
2004-03-22 14:00:00,109.6,110.29,105.35,109.52,117959,11998,109.403
2004-03-22 15:00:00,109.5,109.89,109.38,109.74,74117,9938,109.664
2004-03-22 16:00:00,109.75,109.82,109.6,109.68,27876,643,109.685
2004-03-23 09:30:00,110.25,110.39,110.01,110.25,92778,6454,110.211
2004-03-23 10:00:00,110.25,110.31,109.86,110.24,80249,10570,110.082
2004-03-23 11:00:00,110.25,110.25,109.65,109.92,65372,6873,109.91
2004-03-23 12:00:00,109.92,109.97,109.36,109.7,58173,5926,109.625
2004-03-23 13:00:00,109.69,110.17,109.57,110.03,54256,4677,109.901
2004-03-23 14:00:00,110.04,110.38,109.9,110.27,57561,7279,110.135
2004-03-23 15:00:00,110.27,110.4,109.62,109.65,62248,7992,110.053
2004-03-23 16:00:00,109.65,109.69,109.43,109.48,18366,584,109.576
2004-03-24 09:30:00,109.62,109.95,109.43,109.7,59813,5718,109.712
2004-03-24 10:00:00,109.7,109.83,109.19,109.35,76351,10946,109.503
2004-03-24 11:00:00,109.33,109.77,108.85,109.74,121397,11690,109.318
2004-03-24 12:00:00,109.75,110.14,109.64,109.92,54337,5292,109.933
2004-03-24 13:00:00,109.92,109.96,109.62,109.85,39482,3069,109.822
2004-03-24 14:00:00,109.85,109.88,109.4,109.51,41647,5336,109.647
2004-03-24 15:00:00,109.52,109.56,109.0,109.41,69912,9429,109.318
2004-03-24 16:00:00,109.41,109.56,109.36,109.55,11182,414,109.421
2004-03-25 09:30:00,110.08,110.2,109.95,110.01,53581,6019,110.079
2004-03-25 10:00:00,110.0,110.26,109.79,110.14,68391,7121,110.026
2004-03-25 11:00:00,110.16,111.03,110.01,110.35,47856,5355,110.278
2004-03-25 12:00:00,110.37,110.87,110.31,110.72,62290,7158,110.604
2004-03-25 13:00:00,110.73,110.98,110.68,110.98,58916,4253,110.853
2004-03-25 14:00:00,110.97,111.09,110.81,110.92,76382,6004,110.967
2004-03-25 15:00:00,110.92,111.3,110.1,111.11,58988,6835,111.131
2004-03-25 16:00:00,111.11,111.19,110.99,111.02,20274,571,111.096
2004-03-26 09:30:00,110.96,111.37,110.8,111.16,63362,4925,111.07
2004-03-26 10:00:00,111.17,111.37,110.92,111.15,46593,8062,111.141
2004-03-26 11:00:00,111.12,111.69,111.06,111.56,51828,6583,111.458
2004-03-26 12:00:00,111.56,111.64,111.35,111.48,29136,3442,111.5
2004-03-26 13:00:00,111.48,111.61,111.33,111.34,27492,3586,111.462
2004-03-26 14:00:00,111.36,111.68,111.35,111.58,21167,3843,111.545
2004-03-26 15:00:00,111.59,111.79,111.08,111.17,74600,7660,111.423
2004-03-26 16:00:00,111.18,111.2,110.95,111.02,22251,701,111.08
2004-03-29 09:30:00,111.63,112.16,111.58,112.05,73618,6254,111.869
2004-03-29 10:00:00,112.04,112.58,112.04,112.53,75055,10003,112.387
2004-03-29 11:00:00,112.52,114.5,112.42,112.58,47381,5159,112.935
2004-03-29 12:00:00,112.59,112.64,112.43,112.5,24108,3470,112.561
2004-03-29 13:00:00,112.51,112.58,112.35,112.57,33030,3320,112.455
2004-03-29 14:00:00,112.59,112.74,112.36,112.59,37655,4776,112.541
2004-03-29 15:00:00,112.6,112.74,111.62,112.49,98252,10949,112.354
2004-03-29 16:00:00,112.48,112.65,112.45,112.56,16503,787,112.559
2004-03-30 09:30:00,112.3,112.74,112.22,112.67,56459,5702,112.438
2004-03-30 10:00:00,112.67,112.72,112.35,112.65,64287,7689,112.538
2004-03-30 11:00:00,112.65,112.75,112.45,112.45,26481,4677,112.632
2004-03-30 12:00:00,112.44,112.58,112.24,112.36,36650,4130,112.398
2004-03-30 13:00:00,112.36,112.7,112.31,112.64,43467,3616,112.564
2004-03-30 14:00:00,112.64,112.84,112.47,112.74,35508,4319,112.643
2004-03-30 15:00:00,112.74,113.07,112.69,112.97,72559,6193,112.918
2004-03-30 16:00:00,112.98,113.01,112.61,113.01,16741,365,112.953
2004-03-31 09:30:00,112.99,113.02,112.64,112.9,72197,5003,112.809
2004-03-31 10:00:00,112.87,112.89,112.38,112.74,93559,9761,112.572
2004-03-31 11:00:00,112.74,112.89,112.64,112.74,42771,4006,112.76
2004-03-31 12:00:00,112.74,113.05,112.69,112.85,20454,3560,112.843
2004-03-31 13:00:00,112.85,112.92,112.61,112.67,27237,3558,112.767
2004-03-31 14:00:00,112.66,113.4,112.66,113.29,70312,7122,113.101
2004-03-31 15:00:00,113.29,113.37,112.82,112.88,86683,7168,113.008
2004-03-31 16:00:00,112.86,113.89,112.82,113.14,13958,578,112.913
2004-04-01 09:30:00,113.07,118.18,113.05,113.17,52332,4731,113.237
2004-04-01 10:00:00,113.17,114.59,113.16,113.76,138791,13143,113.586
2004-04-01 11:00:00,113.76,113.84,113.57,113.6,43708,6754,113.681
2004-04-01 12:00:00,113.62,113.68,113.26,113.34,40075,5866,113.448
2004-04-01 13:00:00,113.36,113.7,113.34,113.61,21106,3511,113.515
2004-04-01 14:00:00,113.62,113.73,113.4,113.43,31544,4554,113.597
2004-04-01 15:00:00,113.43,113.6,113.21,113.49,75857,9480,113.411
2004-04-01 16:00:00,113.5,113.78,113.47,113.76,21125,624,113.559
2004-04-02 09:30:00,114.81,115.55,114.28,114.61,110567,11178,114.622
2004-04-02 10:00:00,114.6,114.75,113.91,114.28,88592,11587,114.239
2004-04-02 11:00:00,114.29,114.47,113.32,114.36,41750,5525,114.262
2004-04-02 12:00:00,114.37,114.65,114.17,114.6,33130,4715,114.445
2004-04-02 13:00:00,114.58,114.59,114.25,114.46,25247,4354,114.401
2004-04-02 14:00:00,114.47,114.54,112.01,114.07,63202,8500,114.118
2004-04-02 15:00:00,114.05,114.47,114.01,114.44,68702,8130,114.29
2004-04-02 16:00:00,114.44,114.63,114.34,114.62,20654,750,114.499
2004-04-05 09:30:00,114.46,114.74,114.45,114.58,38935,4678,114.597
2004-04-05 10:00:00,114.59,114.88,114.47,114.48,93291,10180,114.679
2004-04-05 11:00:00,114.48,114.63,114.44,114.57,24787,5998,114.523
2004-04-05 12:00:00,114.56,114.81,114.51,114.73,31700,4285,114.695
2004-04-05 13:00:00,114.73,114.8,114.6,114.72,13646,3152,114.682
2004-04-05 14:00:00,114.72,114.83,114.64,114.77,20144,3668,114.756
2004-04-05 15:00:00,114.77,115.37,114.74,115.33,56053,7588,115.118
2004-04-05 16:00:00,115.33,115.38,115.07,115.26,14259,508,115.29
2004-04-06 09:30:00,114.83,114.94,114.7,114.89,35204,5273,114.819
2004-04-06 10:00:00,114.89,115.06,114.79,114.91,55887,8048,114.92
2004-04-06 11:00:00,114.9,114.91,114.62,114.74,41963,5192,114.742
2004-04-06 12:00:00,114.74,114.83,114.64,114.71,18167,2945,114.754
2004-04-06 13:00:00,114.7,115.01,114.68,114.86,21180,2866,114.871
2004-04-06 14:00:00,114.85,115.18,114.1,115.02,31414,4129,115.028
2004-04-06 15:00:00,115.01,115.16,114.85,115.08,33549,5609,114.999
2004-04-06 16:00:00,115.08,115.14,114.88,114.91,13041,460,115.016
2004-04-07 09:30:00,114.94,114.98,114.6,114.7,35717,4203,114.755
2004-04-07 10:00:00,114.72,114.79,114.11,114.19,88180,10312,114.401
2004-04-07 11:00:00,114.19,114.41,114.16,114.29,54267,6509,114.295
2004-04-07 12:00:00,114.27,114.42,114.18,114.22,28508,3643,114.282
2004-04-07 13:00:00,114.22,114.45,114.22,114.3,18655,2501,114.344
2004-04-07 14:00:00,114.3,114.63,114.13,114.57,48775,5101,114.312
2004-04-07 15:00:00,114.57,114.93,114.31,114.49,113926,9874,114.691
2004-04-07 16:00:00,114.47,114.67,114.41,114.66,17239,661,114.496
2004-04-08 09:30:00,115.41,115.41,114.99,115.01,41111,4086,115.201
2004-04-08 10:00:00,115.02,115.1,114.58,114.76,66076,10307,114.808
2004-04-08 11:00:00,114.75,114.79,114.39,114.69,45576,6303,114.563
2004-04-08 12:00:00,114.7,114.8,114.51,114.54,28241,4291,114.678
2004-04-08 13:00:00,114.54,114.76,114.46,114.51,19227,3937,114.59
2004-04-08 14:00:00,114.49,114.54,113.91,114.11,105995,8505,114.177
2004-04-08 15:00:00,114.12,114.35,113.74,114.23,111742,11340,114.013
2004-04-08 16:00:00,114.25,114.4,114.14,114.38,13679,632,114.232
2004-04-12 09:30:00,114.58,114.83,114.57,114.8,44476,4795,114.687
2004-04-12 10:00:00,114.8,115.08,114.78,115.07,57739,7613,114.951
2004-04-12 11:00:00,115.07,115.08,114.76,114.9,25520,3776,114.884
2004-04-12 12:00:00,114.89,114.97,114.79,114.82,11659,1710,114.873
2004-04-12 13:00:00,114.82,114.89,114.64,114.78,15994,2266,114.754
2004-04-12 14:00:00,114.82,114.92,114.72,114.77,16275,2500,114.836
2004-04-12 15:00:00,114.77,114.96,114.69,114.88,28748,3455,114.822
